0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:15:01 +0530] "GET /Blog/User/Register.html HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:15:01 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:15:01 +0530] "GET /Blog/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 65316
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:15:01 +0530] "GET /Blog/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 67400
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:15:18 +0530] "POST /BlogMiddleWare/saveUser HTTP/1.1" 500 121
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:15:32 +0530] "POST /BlogMiddleWare/saveUser HTTP/1.1" 500 316
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:39 +0530] "POST /BlogMiddleWare/saveUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/ HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/css/all.css HTTP/1.1" 200 60985
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/css/bootstrap.css HTTP/1.1" 200 173442
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/css/myApp.css HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/css/fileinput.css HTTP/1.1" 200 9953
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/css/fileinput.min.css HTTP/1.1" 200 7518
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/themes/explorer/theme.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/css/portfolio.css HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/assets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/RouteConfig.js HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/User/UserController.js HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/Job/JobController.js HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/User/UserService.js HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/Job/JobService.js HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/Blog/BlogController.js HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/Blog/BlogService.js HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/Blog/BlogDetailController.js HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [13/Oct/2018:11:16:50 +0530] "GET /Blog/Notification/NotificationController.js HTTP/1.1" 200 1106
